Minutes Played,Goals Scored,Assists,Clean Sheet,Goals Conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ICT Index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,Total Points,in_dreamteam,element,Gameweek,season,name,team,opponent_team,was_home,Player Team ID,Is Home,Opponent Difficulty,element_type,Position,Player Name Norm,Injury/Unavailable,Avg_Total Points_L3,Avg_Minutes Played_L3,Avg_Goals Scored_L3,Avg_Assists_L3,Avg_Total Points_L5,Avg_Minutes Played_L5,Avg_Goals Scored_L5,Avg_Assists_L5,Player UUID,Team_Points_Contribution_GW_Pct
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,1,2025-26,Aarón Anselmino,7,8,True,7,True,3,2,DEF,aaron anselmino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,2,2025-26,Aarón Anselmino,7,19,False,7,False,2,2,DEF,aaron anselmino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,3,2025-26,Aarón Anselmino,7,10,True,7,True,2,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,4,2025-26,Aarón Anselmino,7,5,False,7,False,4,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,5,2025-26,Aarón Anselmino,7,14,False,7,False,4,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,6,2025-26,Aarón Anselmino,7,6,True,7,True,3,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,7,2025-26,Aarón Anselmino,7,12,True,7,True,3,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,8,2025-26,Aarón Anselmino,7,16,False,7,False,3,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,9,2025-26,Aarón Anselmino,7,17,True,7,True,2,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,10,2025-26,Aarón Anselmino,7,18,False,7,False,3,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,False,234,11,2025-26,Aarón Anselmino,7,20,True,7,True,2,2,DEF,aaron anselmino,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7f3011c1-41ad-4500-9044-496af3ea357f,0.0
