Player Name Norm,Player UUID
aaron anselmino,7f3011c1-41ad-4500-9044-496af3ea357f
aaron hickey,2c7bedb8-1515-4ecf-96e4-cea0729177df
aaron ramsdale,b2bd1c5a-d793-4922-bf49-918b26048699
aaron ramsey,796f7aae-9c00-4748-ad4e-cd4fd238fb0a
aaron wanbissaka,39feb778-e1fd-40d0-9787-d183e4c2debe
abdallah sima,38e529e1-af02-460d-b110-48d010def84e
abdoullah ba,e95470ac-0ae5-44b5-af75-8f9b1ac8165b
abdukodir khusanov,9f256d7b-a4a7-48cd-9b8b-a4a5359dfdb9
adam armstrong,b857e589-781c-4866-b0fc-a2de83b8af9c
adam aznou,c282678a-ce63-406a-9e48-74f420ffae9d
adam smith,ed1dbe02-9b98-4936-b671-b8c12d212cf0
adam webster,bc812990-777b-4216-aaa7-cfd4262dbe3a
adam wharton,8582a398-f371-4073-b437-ab69372c1d57
adama traore diarra,6193c2d1-2720-4e16-98f8-bbbb771b4d19
adrian mazilu,dca3aed6-419e-47bd-a3ea-543039fa531d
adrien truffert,e664da6f-ee9b-4de1-8aa0-ade3b234539c
ahmed abdullahi,ac6f9c0b-55a8-46f8-829e-87e0538eb475
airidas golambeckis,449dfb7a-b333-48ff-8ce7-ecdf068c364c
aji alese,0ebece6c-edf4-495f-98b7-eff7f8582c8e
alan browne,fd379cd1-6b5b-4514-8bee-2d053e82bc7a
albert sambi lokonga,61997424-9ce2-4558-a1c9-a0726a978024
alejandro garnacho ferreyra,02aef1a7-4b72-43f4-8e28-77dc9428fa62
alex cairns,424280e8-904c-4318-abf7-331a5810c064
alex iwobi,ead1fd09-56fe-4b8a-ae27-0977a6b4bf4d
alex jimenez sanchez,571e40f4-8017-4299-9df2-2b058604d931
alex moreno lopera,34dff112-0e06-46a7-9014-1d388618bfa0
alex murphy,c0444a0e-3a09-4b5e-8b66-2be8ccd153a5
alex paulsen,55c69508-83f7-4fff-9d9a-28083149f14e
alex scott,e6acc925-b42c-41a2-b88b-24235bdfbe88
alex toth,f283d054-20f9-4c63-acc0-d4f75812d941
alexander isak,17ed4e46-b917-48fd-a734-fa0f2245ada8
alexis mac allister,665033f1-36f5-445e-a1f9-13ff1ed76d23
alfie mcnally,40cd828c-800e-4405-b5f0-f9ce745b2ea0
alfie pond,5b59519a-1a29-4871-bc5a-d784f5c24488
alisson becker,e7eb9fdb-0676-4fc5-97a8-765337b438ce
alphonse areola,2d1a2fae-d74b-4bde-9a4a-100c7df74d54
altay bayindir,878c0bf7-403f-4728-a902-97e784cece13
alysson edward franco da rocha dos santos,b3be2d80-24b4-4572-931a-ba5fee0ca028
amad diallo,4ea7564b-23cc-48e3-94e0-8524c92076a5
amadou onana,9e346c2c-7eec-4d26-9cf4-f27c7439295b
amara nallo,f27a1c33-b3ef-4b4a-805b-47b976a3eb13
amine adli,a68149f2-0934-49b6-aafc-189de7d35049
andre harrimanannous,9aef02ba-f6dc-4029-ace3-d0ec82d818a7
andre onana,73fafd31-cf6a-4a7d-9e12-ae31abdbee46
andre trindade da costa neto,e5a04b35-795e-4e36-a92a-1987cb46bd8a
andreas hoelgebaum pereira,ca2cf98e-7791-4507-a637-970618e10dce
andres garcia,726da096-2501-477a-83ab-f24eb875269c
andrew moran,4fa00508-e66a-46cb-a2da-92d013672fea
andrew robertson,8ec7e62a-3aed-47c0-9504-648e833cc3ec
andrey nascimento dos santos,25b08a7a-825c-4975-87a9-3b6a9ccaf6be
andy irving,a2f86082-ebcc-4abc-ad1f-02ea61a4aaa2
angel gomes,761befa6-fd83-49c7-b5a7-6de6766b0722
angus gunn,035cb245-dec4-4c6b-afb3-e9eaf3447eec
anthony elanga,4b968651-462a-44e9-8919-702fa5ad7c0e
anthony gordon,e8d2444c-761c-407e-bf75-02e88437b58f
anthony patterson,450d2398-65c7-40f8-aa88-aebed56a74bb
antoine semenyo,a43513e4-b04b-46d3-9e23-e478f29cb4be
anton stach,2d42afda-4a65-4660-bd1c-ce9396ea07b4
antonee robinson,941ce2a9-b692-4adc-befd-abdc5fa7e9cd
antoni milambo,c71038bc-a2a0-4a63-a24b-617a439633e1
antonin kinsky,5f549012-66f6-437b-a8ee-3ad000cc3f84
antonito cordero campillo,5e15f9eb-6648-4a55-bb5d-45d22318c2f1
antony dos santos,561c66e7-5a9e-4524-8777-759d40ec4ffd
archie gray,f5c334b9-673a-4acc-ac10-09c210a18fdb
armando broja,ac0abf27-4577-4e0b-809b-8520e3ca9a3e
armin pecsi,03bbf31d-e4d8-48cb-aeda-d2af1f297c3f
arnaud kalimuendo,5a87a41d-5ca0-4577-9a15-7ecafb3f34f3
arthur masuaku,fdac537f-b097-4298-aca4-ca0459fb164b
asher agbinone,fd969105-e01c-493d-b295-e323e040ac68
ashley barnes,0eb2cb1d-5811-4747-8ecf-2a751c81bb8a
ashley phillips,abacd8bc-78bc-47f2-b424-772365bab4e4
axel disasi,3d084508-cefe-46c4-b52a-5db10deeb84e
axel tuanzebe,cb689675-3052-4077-8bf3-2c84eb93a97b
ayden heaven,23db9bf0-30ac-4951-b23a-c09ca6e643cf
bafode diakite,d7be0a43-8562-4ff1-abc2-8a1ca10c2fe7
bart verbruggen,fedb21e1-832a-46e2-ace6-2dc3cacedf22
bashir humphreys,93629f80-86db-4454-b31c-4cd105d9cc51
bastien meupiyou menadjou,9e2cf5ab-0eeb-491c-aa92-a175c0c960a2
ben broggio,bcabc350-521b-42b8-b724-4baafbbaa7ad
ben casey,0a32ccc0-1cf8-4a15-a9bf-778f2715224e
ben davies,6994ec46-5af4-4ebf-8d39-a000d9b4b5d2
ben gannondoak,0dcb1839-12a7-43a9-9d56-cc9329c6d3d3
ben winterburn,e97aa802-32da-47b1-813d-7023bbfbf4ba
bendito mantato,ed32115a-562b-4fdd-9666-4d9c0955041d
benjamin arthur,8d8c6433-2c3c-4584-ba22-77381bdb6ffd
benjamin fredrick,b6b4557a-3859-4234-9632-5064101461ee
benjamin lecomte,40db1703-ea38-44b3-b16e-e078a74bb1fd
benjamin sesko,1c26534b-abed-492d-8c95-9f946dcf1e6d
benjamin white,1d70123b-873d-458e-b043-f273ac824515
benoit badiashile mukinayi,f3133eec-6857-4c71-926a-093e40c7283f
bernardo mota veiga de carvalho e silva,46097040-3f5f-42be-bd47-b94adfa0e712
bernd leno,ee1f617e-848a-4685-8547-25406b946d9d
bertrand traore,a0bbd557-40b3-4669-b660-089781e70651
blondy nna noukeu,7a2fae27-0a75-4c9d-b560-97f766d08e01
borna sosa,50a349b5-c720-4aa4-bebc-2491208947f5
boubacar kamara,99220b29-82b3-40c6-b5bc-89a55396dc1e
boubacar traore,63c45b60-144b-4e90-aab6-6c9e18b458e2
bradley burrowes,c1e9c94f-4366-4eb3-8992-f1f07b8dacdc
braiden graham,31913904-fac1-4847-936c-8a63339de969
brajan gruda,f107ef9d-f3cc-4c7a-a2d5-07e98d942126
brandon austin,06d59c34-8064-4b0a-b444-96f1cdde688a
brayden clarke,40355604-2888-490f-9bf2-30d014c9eb5a
brenden aaronson,ae414e45-a2da-4422-8432-075ed7e4dc46
brennan johnson,c813a0f3-596a-49a9-9874-62b021fdff0b
brian brobbey,d68f34b1-b2c4-4aa0-bda1-c7ec460d4bee
bruno borges fernandes,07ab991e-f4a7-47f8-9041-e2a6f988b4bc
bruno guimaraes rodriguez moura,b3f63514-0861-4c8c-8910-57bfd370165d
bryan gil salvatierra,998f7c70-ee5e-4102-aee8-fcc447e5cbf5
bryan mbeumo,0b532466-f3da-4668-a1dc-091637ed78a6
bukayo saka,23f9d6c3-77bf-4d81-b632-147e04c3826b
caleb kporha,83779400-be95-4d87-800a-e2a84188ae7b
callan mckenna,8843caf5-763e-4612-bf0d-203832b8ee2a
callum bates,7b6159cb-0ce6-4f8c-b78c-d2680b65f8c0
callum hudsonodoi,780a6442-3c3c-4e77-9509-1aa7d5a5967e
callum marshall,be28ad96-d892-4682-ac29-ed9c10fe7d93
callum olusesi,41ade795-4d25-4c1b-87d2-440afc3e3a84
callum wilson,6c952b42-f79f-4af7-b05e-cafdc52b16d7
calvin bassey,a5a48d9a-3f31-47cc-b372-993893f4c4e6
calvin ramsay,55cf3ed0-1b92-4d09-9eaf-942734716f8f
caoimhin kelleher,c44cca5f-d057-40aa-b57e-cfaae9d7e779
carl rushworth,82a27b1f-064a-4e36-bcd6-264cb483ec00
carlos alcaraz duran,9d08e5ea-a59b-4a63-8531-507c1f8c6bbc
carlos baleba,94c74dd4-1ee7-4b59-9fa3-f66754a7b03e
carlos henrique casimiro,a33e8076-a8e3-4dcc-93f6-5a3ce6a8ef1f
carlos miguel dos santos pereira,5754f52f-72f2-47f0-8733-66c09c268ff3
chadi riad dnanou,58b91ee6-a762-421c-b00b-33356459887a
charalampos kostoulas,6dde02b9-66e3-43f7-bd25-a841fbbe7517
charlie crew,4e282276-5892-4c3e-a5cc-9160030c69ef
charlie gray,3b112101-902e-4677-8342-c2a554726210
charlie stevens,98230672-5f84-444f-a68a-56c16455e09b
charlie tasker,5065f2ea-4e3e-49fa-b1c5-24dc6ed55527
cheick doucoure,111080cd-bb21-4a28-8750-a1f21cfb9080
chemsdine talbi,0ccc08df-d899-4640-bf86-f57097043e12
chido obi,fea69f7f-57d0-42ae-b774-ded8d2fea6fb
